actor_loss,discrete_loss,frame,logits_entropy,offset_loss,step,total_time
4627.45703125,1.5905520915985107,0,2.079211711883545,4625.86669921875,0.0,4.325062274932861
3130.2181650293937,1.5426010251045228,100,2.07744699716568,3135.6067390441895,100.0,6.305368423461914
2296.744955232828,1.3980688774585723,200,2.059153106212616,2295.786310195923,200.0,8.221624612808228
2207.1517563621596,1.2903485739231109,300,2.03287043094635,2206.3796920776367,300.0,10.146245956420898
2145.4179034846843,1.2050791847705842,400,2.0032712697982786,2144.5593452453613,400.0,12.050109386444092
2106.267599880105,1.1414548766613006,500,1.9687313532829285,2105.466993331909,500.0,14.097002506256104
2064.603213470761,1.083360916376114,600,1.929287339448929,2063.525894165039,600.0,16.073737382888794
2036.2463270130725,1.0282318449020387,700,1.8789254474639892,2035.4419250488281,700.0,18.06350541114807
1968.0852449624845,0.9839303267002105,800,1.831467444896698,1967.762107849121,800.0,20.477949142456055
1915.5888647702661,0.9504305583238601,900,1.7882694220542907,1914.7284870147705,900.0,22.447094440460205
1857.4818018545018,0.9189789479970932,1000,1.7467505574226379,1855.7444190979004,1000.0,25.07319450378418
1805.864800481513,0.896079626083374,1100,1.7125303208827973,1804.5314388275146,1100.0,28.39256238937378
1748.541990978883,0.8732502239942551,1200,1.6819329524040223,1746.8710803985596,1200.0,31.44088625907898
1706.560679822865,0.8532168406248093,1300,1.6546416687965393,1706.5924320220947,1300.0,34.86136269569397
1649.5389368038366,0.826687838435173,1400,1.6261643302440643,1648.761685371399,1400.0,37.57322573661804
1626.223495030167,0.8270673137903214,1500,1.60541717171669,1625.9688892364502,1500.0,39.67983078956604
1575.9045772741338,0.8006885838508606,1600,1.5817840564250947,1575.741364479065,1600.0,41.67915177345276
1535.5729907951732,0.7924487000703812,1700,1.5585686540603638,1535.3414087295532,1700.0,43.83303785324097
1485.9603658241801,0.7811906325817108,1800,1.5394904541969299,1485.3505506515503,1800.0,45.94916653633118
1424.1929206470452,0.7646576017141342,1900,1.5167175030708313,1423.562728881836,1900.0,48.011723041534424
1368.6134625425434,0.7637437742948532,2000,1.5004805648326873,1367.5394773483276,2000.0,51.528624057769775
1307.0505576558633,0.7425414043664932,2100,1.4836221790313722,1306.02095413208,2100.0,54.01087713241577
1223.5981856242265,0.7376459354162216,2200,1.4660529804229736,1222.4545698165894,2200.0,56.82418441772461
1133.0730010684174,0.7320207691192627,2300,1.454346626996994,1132.271921157837,2300.0,61.09163570404053
1038.4841556360225,0.7096356993913651,2400,1.4415915167331697,1037.8922128677368,2400.0,64.5943922996521
952.2798214147587,0.7028109872341156,2500,1.431091080904007,952.7316789627075,2500.0,67.7843108177185
864.4600491665377,0.6974661946296692,2600,1.4257368302345277,862.5791893005371,2600.0,71.05424427986145
752.4338106967435,0.6793264502286911,2700,1.4166255486011505,752.376781463623,2700.0,74.35848116874695
693.7245906414372,0.6737364882230759,2800,1.413246191740036,693.2735738754272,2800.0,77.67767262458801
617.1927795410156,0.6650785779953003,2900,1.404280949831009,616.5693974494934,2900.0,81.06603574752808
554.7380546343209,0.652757620215416,3000,1.3984566724300385,554.8333177566528,3000.0,84.716805934906
515.2500791644106,0.6490683710575104,3100,1.3942455899715425,514.5297799110413,3100.0,88.32347464561462
496.27844963451423,0.6439855772256852,3200,1.3928562319278717,495.4891514778137,3200.0,91.88409519195557
455.2559602945158,0.6248664301633835,3300,1.386257836818695,454.91874527931213,3300.0,94.68748116493225
420.65095414265545,0.6139691829681396,3400,1.3818366146087646,420.6055817604065,3400.0,98.26440262794495
404.57621447874766,0.6113377529382705,3500,1.3796732342243194,403.9014251232147,3500.0,101.62854933738708
377.32580702375657,0.5993801182508469,3600,1.3731184208393097,376.37061500549316,3600.0,104.28303003311157
365.29906033053254,0.5884130132198334,3700,1.370500215291977,363.8054265975952,3700.0,107.2707941532135
350.04444386699413,0.5895414930582047,3800,1.3695704305171967,349.6262061595917,3800.0,110.92944931983948
325.7344302942257,0.5845533567667007,3900,1.3689212906360626,326.60216677188873,3900.0,114.35434794425964
308.3952863334429,0.5737174642086029,4000,1.3637196254730224,308.45244657993317,4000.0,119.99646472930908
309.5488788869121,0.5740408408641815,4100,1.3635337662696838,309.46873807907104,4100.0,123.67693710327148
309.9859026918317,0.5693488711118698,4200,1.362095594406128,309.44171929359436,4200.0,126.17640900611877
297.9903822794999,0.5703870186209679,4300,1.36597909450531,297.38350665569305,4300.0,129.62832236289978
269.02175185703993,0.5578046485781669,4400,1.3585813021659852,268.6612492799759,4400.0,133.3242449760437
268.6931820860003,0.5583662277460099,4500,1.3570211374759673,267.9982295036316,4500.0,137.01948595046997
252.0427576197256,0.5491430369019509,4600,1.3552863097190857,251.66873145103455,4600.0,140.6297755241394
245.5495674964225,0.5453634947538376,4700,1.3510759210586547,244.59158277511597,4700.0,142.93921399116516
229.9034269729463,0.5349082866311073,4800,1.3469412922859192,229.35541141033173,4800.0,146.4108898639679
231.482984788347,0.5380816939473152,4900,1.3428629696369172,231.09738063812256,4900.0,149.97354364395142
208.80091359355663,0.5295838776230812,5000,1.3438040006160736,207.7698676586151,5000.0,153.56235098838806
199.70876002547766,0.5339547675848008,5100,1.3393676793575287,199.29134583473206,5100.0,156.94417071342468
192.93241308231165,0.5251035073399544,5200,1.3370610213279723,192.37888205051422,5200.0,160.1396496295929
192.96541187078645,0.5206568124890327,5300,1.3399465692043304,193.28077247738838,5300.0,163.6628293991089
177.41980086222733,0.5130431225895882,5400,1.3304345953464507,176.95881402492523,5400.0,166.8108434677124
177.70531221899657,0.5156259649991989,5500,1.3324395418167114,176.83651983737946,5500.0,170.22161149978638
166.36147059072363,0.5077342629432678,5600,1.325431752204895,166.05956664681435,5600.0,173.6619062423706
